E(MeV)	TB-159(N,TOT)
1.00000E-11	1203.9
1.10304E-11	1146.35
1.21669E-11	1091.56
1.34206E-11	1039.41
1.35153E-11	1035.99
1.48034E-11	989.75
1.50122E-11	983.252
1.63287E-11	942.47
1.66759E-11	933.149
1.80111E-11	897.455
1.85229E-11	885.6
1.98669E-11	854.597
2.05756E-11	840.432
2.19139E-11	813.793
2.28546E-11	797.571
2.41719E-11	774.945
2.53873E-11	756.858
2.66625E-11	737.959
2.81993E-11	718.227
2.94097E-11	702.747
3.13243E-11	681.536
3.24400E-11	669.224
3.47938E-11	646.724
3.57825E-11	637.31
3.86497E-11	613.663
3.94694E-11	606.927
4.29306E-11	582.297
4.35362E-11	578.003
4.76881E-11	552.512
4.80221E-11	550.469
5.29701E-11	524.257
5.84280E-11	499.311
5.88402E-11	497.679
6.44483E-11	475.568
6.58186E-11	470.887
7.10888E-11	452.964
7.36246E-11	445.495
7.84136E-11	431.447
8.23564E-11	421.43
8.64931E-11	410.964
9.21237E-11	398.627
9.54051E-11	391.467
1.03050E-10	377.021
1.05235E-10	372.908
1.15272E-10	356.552
1.16078E-10	355.243
1.28039E-10	338.436
1.29845E-10	336.237
1.41231E-10	322.441
1.46270E-10	317.156
1.55784E-10	307.217
1.64763E-10	299.096
1.71835E-10	292.726
1.86904E-10	280.979
1.89540E-10	278.932
2.09070E-10	265.809
2.12020E-10	264.093
2.30612E-10	253.326
2.42208E-10	247.513
2.54374E-10	241.442
2.78632E-10	230.966
2.80584E-10	230.127
3.09494E-10	219.37
3.20534E-10	215.815
3.41383E-10	209.132
3.71320E-10	200.829
3.76558E-10	199.382
4.15358E-10	190.113
4.33187E-10	186.429
4.58155E-10	181.291
5.05362E-10	172.89
5.12492E-10	171.793
5.57433E-10	164.906
6.10592E-10	157.861
6.14869E-10	157.296
6.78223E-10	150.067
7.37698E-10	144.2
7.48105E-10	143.177
8.25188E-10	136.63
9.10213E-10	130.387
1.00400E-09	124.46
1.10745E-09	118.809
1.14695E-09	116.944
1.22155E-09	113.436
1.34742E-09	108.321
1.48625E-09	103.446
1.63939E-09	98.8179
1.80831E-09	94.4072
1.99463E-09	90.2028
2.20016E-09	86.2126
2.42685E-09	82.4103
2.67691E-09	78.7866
2.81151E-09	77.1011
2.95273E-09	75.3401
3.25697E-09	72.0634
3.59256E-09	68.9416
3.96272E-09	65.967
4.25026E-09	63.9709
4.37103E-09	63.1359
4.82141E-09	60.4474
5.31819E-09	57.8869
5.86616E-09	55.4484
6.47059E-09	53.1257
7.13730E-09	50.9129
7.18765E-09	50.7685
7.87271E-09	48.8127
8.68389E-09	46.8123
9.57865E-09	44.9056
1.05656E-08	43.0886
1.16543E-08	41.3573
1.28551E-08	39.7087
1.41796E-08	38.1394
1.46854E-08	37.6222
1.56406E-08	36.6489
1.72522E-08	35.2312
1.90298E-08	33.8798
2.09906E-08	32.5916
2.31534E-08	31.3648
2.52419E-08	30.3331
2.53000E-08	30.3063
2.79068E-08	29.1925
3.07823E-08	28.1329
3.39540E-08	27.1246
3.74525E-08	26.1638
4.13115E-08	25.2482
4.55681E-08	24.3765
5.02633E-08	23.5478
5.54423E-08	22.761
6.15863E-08	21.9584
6.79319E-08	21.2445
7.49314E-08	20.5648
8.26521E-08	19.918
9.11684E-08	19.3025
1.00562E-07	18.7168
1.10924E-07	18.1616
1.23210E-07	17.5956
1.32150E-07	17.2405
1.35905E-07	17.0919
1.49908E-07	16.614
1.65354E-07	16.1596
1.82392E-07	15.7275
2.01185E-07	15.317
2.21915E-07	14.9298
2.44780E-07	14.5581
2.70002E-07	14.2048
2.97822E-07	13.8694
3.30826E-07	13.5291
3.67469E-07	13.2077
4.08191E-07	12.9044
4.50250E-07	12.6399
4.96642E-07	12.3873
5.47815E-07	12.1494
