MeV	"TL-205(N,TOT)"
1.00000E-11	343.585
1.10304E-11	327.166
1.21669E-11	311.534
1.34205E-11	296.651
1.48034E-11	282.482
1.63287E-11	268.991
1.80111E-11	256.148
1.98669E-11	243.92
2.19139E-11	232.279
2.41719E-11	221.197
2.66625E-11	210.646
2.94097E-11	200.602
3.24400E-11	191.04
3.57825E-11	181.94
3.59000E-11	181.66
3.94694E-11	173.275
3.95990E-11	173.008
4.35362E-11	165.031
4.39873E-11	164.23
4.80221E-11	157.182
4.87582E-11	156.054
5.29701E-11	149.711
5.37174E-11	148.724
5.41615E-11	148.138
5.84280E-11	142.599
6.00883E-11	140.709
6.01606E-11	140.627
6.44483E-11	135.827
6.65148E-11	133.799
6.72147E-11	133.124
7.10888E-11	129.384
7.38859E-11	127.018
7.51862E-11	125.936
7.84136E-11	123.25
8.20697E-11	120.585
8.41032E-11	119.127
8.64931E-11	117.413
9.11645E-11	114.478
9.40778E-11	112.677
9.54051E-11	111.857
1.01262E-10	108.686
1.05235E-10	106.569
1.12484E-10	103.188
1.16078E-10	101.537
1.17716E-10	100.879
1.24829E-10	98.0196
1.28039E-10	96.7491
1.31677E-10	95.4891
1.38655E-10	93.0721
1.41232E-10	92.1931
1.49372E-10	89.7639
1.54021E-10	88.3765
1.55784E-10	87.8584
1.69444E-10	84.3474
1.71835E-10	83.7329
1.71858E-10	83.7277
1.89540E-10	79.8138
1.90894E-10	79.5513
1.92214E-10	79.2996
2.09070E-10	76.0855
2.12048E-10	75.5882
2.18044E-10	74.6039
2.30612E-10	72.5407
2.37197E-10	71.5943
2.50835E-10	69.6679
2.54374E-10	69.168
2.65328E-10	67.8139
2.80583E-10	65.9596
2.88556E-10	65.112
2.96795E-10	64.2361
3.09494E-10	62.9083
3.33280E-10	60.7341
3.36634E-10	60.4325
3.41383E-10	60.0053
3.72806E-10	57.5358
3.76558E-10	57.2456
3.92722E-10	56.1537
4.15358E-10	54.6247
4.19962E-10	54.3526
4.58155E-10	52.136
4.64619E-10	51.808
4.73060E-10	51.3798
5.05362E-10	49.769
5.32897E-10	48.5695
5.49678E-10	47.8509
5.57433E-10	47.5187
6.04508E-10	45.7587
6.14869E-10	45.3777
6.59484E-10	43.9467
6.78223E-10	43.3456
6.85742E-10	43.1349
7.48105E-10	41.4192
7.83155E-10	40.5775
8.02387E-10	40.1238
8.25188E-10	39.5858
8.94618E-10	38.1573
9.10213E-10	37.8418
9.76257E-10	36.6776
1.00400E-09	36.1886
1.02915E-09	35.8018
1.10745E-09	34.6198
1.18780E-09	33.5627
1.19162E-09	33.5125
1.22156E-09	33.1255
1.34742E-09	31.7091
1.39016E-09	31.29
1.44519E-09	30.7601
1.48625E-09	30.3647
1.63314E-09	29.134
1.63939E-09	29.0825
1.73389E-09	28.4059
1.80831E-09	27.8729
1.94575E-09	27.0167
1.99463E-09	26.7174
2.05131E-09	26.416
2.20015E-09	25.6244
2.35080E-09	24.9278
2.42685E-09	24.5823
2.67691E-09	23.5961
2.83120E-09	23.0674
2.90054E-09	22.8298
2.95273E-09	22.654
3.25697E-09	21.7653
3.59256E-09	20.9143
3.65495E-09	20.7768
3.74677E-09	20.5783
3.96272E-09	20.1115
4.25026E-09	19.5724
4.37103E-09	19.346
4.73620E-09	18.7519
4.82141E-09	18.6156
5.31819E-09	17.9274
5.46931E-09	17.746
5.86616E-09	17.2695
6.20428E-09	16.9175
6.35624E-09	16.7592
6.47059E-09	16.6422
6.94010E-09	16.2261
7.13730E-09	16.0514
7.76318E-09	15.5711
7.87271E-09	15.4871
8.68389E-09	14.9478
9.02209E-09	14.7529
9.57865E-09	14.4379
9.71379E-09	14.3717
1.05656E-08	13.9546
1.08658E-08	13.8275
1.16543E-08	13.4934
1.21545E-08	13.31
1.28551E-08	13.0531
1.35442E-08	12.8342
1.35960E-08	12.8181
1.41796E-08	12.6361
1.52085E-08	12.359
1.56406E-08	12.2426
1.72522E-08	11.8675
1.74956E-08	11.8186
1.90298E-08	11.5101
2.09906E-08	11.1693
2.18916E-08	11.0339
2.31534E-08	10.8443
2.44879E-08	10.6693
2.51838E-08	10.5781
2.51938E-08	10.5768
2.52419E-08	10.5705
2.53000E-08	10.5633
2.79068E-08	10.2661
3.07823E-08	9.98228
3.16570E-08	9.90751
3.39540E-08	9.71116
3.74525E-08	9.45205
4.13073E-08	9.20454
4.13115E-08	9.20427
4.55681E-08	8.97395
5.02633E-08	8.75456
5.54423E-08	8.54559
6.11549E-08	8.34645
6.74561E-08	8.15659
7.44066E-08	7.97564
8.20732E-08	7.8033
9.05297E-08	7.63906
