MeV	"TL-205(N,TOT)"
1.00000E-11	44.2659
1.10304E-11	42.2515
1.11082E-11	42.1027
1.21669E-11	40.3365
1.23386E-11	40.0562
1.34205E-11	38.5162
1.37059E-11	38.1188
1.48034E-11	36.7864
1.52240E-11	36.287
1.63287E-11	35.1434
1.69111E-11	34.554
1.80111E-11	33.5833
1.87842E-11	32.9166
1.98669E-11	32.1025
2.08659E-11	31.3686
2.19139E-11	30.6975
2.31770E-11	29.9074
2.41719E-11	29.365
2.57455E-11	28.5273
2.66625E-11	28.1019
2.85971E-11	27.2259
2.94097E-11	26.9053
3.17662E-11	25.9981
3.24400E-11	25.7721
3.52847E-11	24.8417
3.57825E-11	24.6999
3.91949E-11	23.7523
3.94694E-11	23.6859
4.35362E-11	22.7277
4.80221E-11	21.8316
4.83608E-11	21.7655
5.29701E-11	20.9893
5.40964E-11	20.8041
5.84280E-11	20.1907
6.02330E-11	19.9413
6.44483E-11	19.4398
6.73765E-11	19.1001
7.10888E-11	18.7307
7.53673E-11	18.3158
7.84136E-11	18.0625
8.43058E-11	17.5855
8.64931E-11	17.4345
9.49696E-11	16.8652
9.54051E-11	16.8404
1.05235E-10	16.2961
1.06977E-10	16.2021
1.16078E-10	15.7872
1.20508E-10	15.5906
1.28039E-10	15.3098
1.36702E-10	14.9958
1.41232E-10	14.8585
1.55072E-10	14.4515
1.55784E-10	14.4341
1.71835E-10	14.0535
1.77143E-10	13.9313
1.89540E-10	13.6959
2.02365E-10	13.4598
2.09070E-10	13.3584
2.30612E-10	13.0436
2.32798E-10	13.0126
2.54374E-10	12.7648
2.69683E-10	12.5948
2.80583E-10	12.4974
3.09494E-10	12.2486
3.14616E-10	12.206
3.41383E-10	12.0291
3.69625E-10	11.8493
3.76558E-10	11.8146
4.15358E-10	11.6282
4.40356E-10	11.5126
4.58155E-10	11.4487
5.05362E-10	11.2866
5.28323E-10	11.2108
5.57433E-10	11.1374
6.14869E-10	10.9993
6.47340E-10	10.9244
6.78223E-10	10.8712
7.48105E-10	10.7567
8.09993E-10	10.6599
8.25188E-10	10.6424
9.10213E-10	10.5497
1.00400E-09	10.4526
1.03501E-09	10.422
1.10745E-09	10.3708
1.22156E-09	10.2948
1.34742E-09	10.2155
1.36972E-09	10.2021
1.48625E-09	10.1536
1.63939E-09	10.094
1.80831E-09	10.032
1.89047E-09	10.0036
1.99463E-09	9.97914
2.20015E-09	9.93448
2.42685E-09	9.88858
2.67691E-09	9.84114
2.77907E-09	9.82288
2.95273E-09	9.80279
3.25697E-09	9.7705
3.59256E-09	9.73763
3.96272E-09	9.70401
4.37103E-09	9.66942
4.47471E-09	9.66119
4.82141E-09	9.64431
5.31819E-09	9.62239
5.86616E-09	9.60038
6.47059E-09	9.57814
7.13730E-09	9.55557
7.87271E-09	9.53253
8.34653E-09	9.51873
8.68389E-09	9.51296
9.57865E-09	9.49934
1.05656E-08	9.48591
1.16543E-08	9.47264
1.28551E-08	9.45945
1.41796E-08	9.44631
1.56406E-08	9.43315
1.72522E-08	9.41988
1.90298E-08	9.40643
2.07484E-08	9.39442
2.09906E-08	9.39327
2.31534E-08	9.38404
2.52419E-08	9.376
2.52722E-08	9.37589
2.53000E-08	9.37579
2.79068E-08	9.36924
3.07823E-08	9.36295
3.39540E-08	9.35691
3.74525E-08	9.3511
4.13115E-08	9.34552
4.55681E-08	9.34015
5.02633E-08	9.33495
5.54423E-08	9.3299
6.11549E-08	9.325
6.74561E-08	9.32024
7.44066E-08	9.3156
8.20732E-08	9.31105
9.05297E-08	9.30661
1.00562E-07	9.3019
1.10924E-07	9.29754
1.22353E-07	9.29321
1.34960E-07	9.28889
1.48866E-07	9.28454
