E(MeV)	"U-238(N,TOT)"
1.00000E-11	169.811
1.69111E-11	131.217
2.85971E-11	101.605
4.80221E-11	79.2527
7.84136E-11	63.0557
1.55784E-10	46.4624
2.80583E-10	36.4334
5.57433E-10	28.1918
1.10745E-09	22.5176
2.42685E-09	18.1292
5.31819E-09	15.2163
1.28551E-08	13.0839
3.07823E-08	11.7328
8.32311E-08	10.7795
2.23480E-07	10.1873
3.40226E-07	10.0035
5.67328E-07	9.81545
9.66133E-07	9.64115
1.78956E-06	9.44562
2.80184E-06	9.26088
3.53057E-06	9.14799
4.11500E-06	9.08337
4.32065E-06	9.15962
4.37942E-06	9.82311
4.42496E-06	9.97544
4.47435E-06	9.28538
4.57074E-06	9.08861
4.93407E-06	9.1549
5.21895E-06	9.34972
5.44553E-06	9.6789
5.63659E-06	10.2307
5.75940E-06	10.8443
5.90239E-06	12.0546
6.00662E-06	13.5666
6.09867E-06	15.7714
6.17191E-06	18.5737
6.23712E-06	22.5166
6.28343E-06	26.7528
6.33269E-06	33.4979
6.36907E-06	40.9998
6.40732E-06	52.94
6.44097E-06	69.5665
6.46200E-06	85.1521
6.47921E-06	102.751
6.49145E-06	119.373
6.50415E-06	142.404
6.51486E-06	168.493
6.52279E-06	193.886
6.52939E-06	220.701
6.53704E-06	260.54
6.54331E-06	303.429
6.55096E-06	372.221
6.55891E-06	471.611
6.56580E-06	588.272
6.57268E-06	742.871
6.57849E-06	909.736
6.58538E-06	1161.49
6.59226E-06	1481.17
6.60144E-06	2027.81
6.61487E-06	3089.86
6.64412E-06	6001.76
6.66370E-06	7382.54
6.67912E-06	7514.8
6.69062E-06	7005.69
6.70286E-06	6022.78
6.72734E-06	3583.63
6.74141E-06	2383.99
6.75105E-06	1748.26
6.75900E-06	1340.28
6.76772E-06	997.75
6.77598E-06	760.341
6.78379E-06	595.128
6.79128E-06	478.784
6.80138E-06	368.1
6.81147E-06	293.454
6.82295E-06	236.014
6.83473E-06	195.559
6.84826E-06	162.679
6.86547E-06	133.375
6.88957E-06	105.645
6.91098E-06	88.6345
6.93967E-06	72.4622
6.97026E-06	60.3889
7.00850E-06	49.8581
7.05134E-06	41.7102
7.09187E-06	36.1627
7.13930E-06	31.4253
7.19353E-06	27.4843
7.25404E-06	24.2866
7.32925E-06	21.4336
7.42614E-06	18.8945
7.50623E-06	17.3883
7.62791E-06	15.8005
7.79489E-06	14.2536
7.94467E-06	13.3341
8.15829E-06	12.4201
8.47660E-06	11.5669
