E(MeV)	V-nat
1.00000E-11	2.93759E+02
1.10304E-11	2.79728E+02
1.21669E-11	2.66369E+02
1.34206E-11	2.53655E+02
1.34591E-11	2.53311E+02
1.48034E-11	2.41547E+02
1.48459E-11	2.41219E+02
1.63287E-11	2.30021E+02
1.64026E-11	2.29529E+02
1.80111E-11	2.19047E+02
1.80927E-11	2.18579E+02
1.98669E-11	2.08600E+02
1.99569E-11	2.08154E+02
2.19139E-11	1.98654E+02
2.20132E-11	1.98229E+02
2.41719E-11	1.89186E+02
2.42813E-11	1.88782E+02
2.66625E-11	1.80172E+02
2.67832E-11	1.79788E+02
2.94097E-11	1.71592E+02
2.95406E-11	1.71232E+02
3.24400E-11	1.63425E+02
3.25844E-11	1.63082E+02
3.57825E-11	1.55650E+02
3.59418E-11	1.55324E+02
3.94694E-11	1.48255E+02
3.99228E-11	1.47455E+02
4.35362E-11	1.41215E+02
4.43470E-11	1.39982E+02
4.80221E-11	1.34513E+02
4.92590E-11	1.32892E+02
5.29701E-11	1.28133E+02
5.47178E-11	1.26161E+02
5.84280E-11	1.22061E+02
6.07785E-11	1.19775E+02
6.44483E-11	1.16282E+02
6.75139E-11	1.13713E+02
7.10888E-11	1.10781E+02
7.49919E-11	1.07964E+02
7.84136E-11	1.05546E+02
8.33024E-11	1.02507E+02
8.64931E-11	1.00564E+02
9.25292E-11	9.73322E+01
9.54051E-11	9.58233E+01
1.02783E-10	9.24210E+01
1.05235E-10	9.13127E+01
1.14260E-10	8.77286E+01
1.16078E-10	8.70207E+01
1.26916E-10	8.33142E+01
1.28039E-10	8.29377E+01
1.41180E-10	7.90680E+01
1.41231E-10	7.90531E+01
1.55784E-10	7.53636E+01
1.56825E-10	7.51312E+01
1.71835E-10	7.18549E+01
1.74484E-10	7.13463E+01
1.89540E-10	6.85171E+01
1.93820E-10	6.78100E+01
2.09070E-10	6.53443E+01
2.16489E-10	6.42899E+01
2.30612E-10	6.23264E+01
2.42165E-10	6.09155E+01
2.54374E-10	5.94557E+01
2.69895E-10	5.78263E+01
2.80584E-10	5.67272E+01
3.01904E-10	5.48035E+01
3.09494E-10	5.41326E+01
3.37935E-10	5.19279E+01
3.41383E-10	5.16661E+01
3.76558E-10	4.93253E+01
3.80680E-10	4.90844E+01
4.15358E-10	4.71043E+01
4.28812E-10	4.64301E+01
4.58155E-10	4.49924E+01
4.83052E-10	4.39229E+01
5.05362E-10	4.29854E+01
5.48138E-10	4.14109E+01
5.57433E-10	4.10762E+01
6.14869E-10	3.92662E+01
6.24235E-10	3.90074E+01
6.78223E-10	3.75512E+01
7.13080E-10	3.67279E+01
7.48105E-10	3.59192E+01
8.14609E-10	3.45761E+01
8.25188E-10	3.43671E+01
9.10213E-10	3.28991E+01
9.37114E-10	3.24926E+01
1.00400E-09	3.15058E+01
1.08559E-09	3.04538E+01
1.10745E-09	3.01783E+01
1.22155E-09	2.89230E+01
1.26647E-09	2.84912E+01
1.34742E-09	2.77313E+01
1.48625E-09	2.65941E+01
1.48790E-09	2.65824E+01
1.63939E-09	2.55251E+01
1.77263E-09	2.47140E+01
1.80831E-09	2.45017E+01
1.99463E-09	2.35364E+01
2.12987E-09	2.29256E+01
2.20016E-09	2.26154E+01
2.42685E-09	2.17449E+01
2.60967E-09	2.11335E+01
2.67691E-09	2.09137E+01
2.95273E-09	2.01301E+01
3.25697E-09	1.93779E+01
3.26136E-09	1.93685E+01
3.59256E-09	1.86730E+01
3.96272E-09	1.79974E+01
4.16759E-09	1.76722E+01
4.37103E-09	1.73567E+01
4.82141E-09	1.67505E+01
5.31819E-09	1.61697E+01
5.51532E-09	1.59693E+01
5.86616E-09	1.56211E+01
6.47059E-09	1.51009E+01
7.13730E-09	1.46030E+01
7.61219E-09	1.42949E+01
7.87271E-09	1.41298E+01
8.68389E-09	1.36843E+01
9.57865E-09	1.32584E+01
1.05656E-08	1.28509E+01
1.11897E-08	1.26273E+01
1.16543E-08	1.24647E+01
1.28551E-08	1.21009E+01
1.41796E-08	1.17534E+01
1.56406E-08	1.14214E+01
1.72522E-08	1.11041E+01
1.80170E-08	1.09735E+01
1.90298E-08	1.08041E+01
2.09906E-08	1.05201E+01
2.31534E-08	1.02490E+01
2.52419E-08	1.00201E+01
2.52589E-08	1.00184E+01
2.53000E-08	1.00142E+01
2.79068E-08	9.76993E+00
3.07823E-08	9.53683E+00
3.39540E-08	9.31440E+00
3.74525E-08	9.10215E+00
4.13115E-08	8.89961E+00
4.55681E-08	8.70636E+00
5.02633E-08	8.52192E+00
5.42907E-08	8.38492E+00
5.54423E-08	8.34663E+00
6.11549E-08	8.18251E+00
6.74561E-08	8.02600E+00
7.44066E-08	7.87678E+00
8.20732E-08	7.73454E+00
9.05297E-08	7.59909E+00
9.98577E-08	7.47026E+00
1.10147E-07	7.34755E+00
1.21496E-07	7.23026E+00
1.34014E-07	7.11805E+00
1.47823E-07	7.01091E+00
1.63054E-07	6.90879E+00
1.79855E-07	6.81128E+00
1.90221E-07	6.75921E+00
1.98386E-07	6.71913E+00
2.18827E-07	6.63275E+00
2.41375E-07	6.55051E+00
2.66245E-07	6.47193E+00
2.93678E-07	6.39714E+00
3.23938E-07	6.32581E+00
3.57316E-07	6.25782E+00
3.94132E-07	6.19323E+00
4.34743E-07	6.13197E+00
4.79537E-07	6.07331E+00
5.28947E-07	6.01736E+00
5.83448E-07	5.96414E+00
6.43565E-07	5.91326E+00
7.09876E-07	5.86484E+00
7.83020E-07	5.81878E+00
