E(MeV)	W-nat
1.00000E-11	929.474
1.08706E-11	891.92
1.10240E-11	885.302
1.18170E-11	855.745
1.21504E-11	843.318
1.32083E-11	809.25
1.33946E-11	803.251
1.47633E-11	765.166
1.62750E-11	728.823
1.65015E-11	724.118
1.79381E-11	694.277
1.84442E-11	685.194
1.97749E-11	661.311
2.06157E-11	648.273
2.17956E-11	629.977
2.30429E-11	613.266
2.40274E-11	600.076
2.57558E-11	580.07
2.64826E-11	571.657
2.87881E-11	548.6
2.91943E-11	544.538
3.21775E-11	518.762
3.54723E-11	494.167
3.59658E-11	490.984
3.90970E-11	470.79
4.02002E-11	464.643
4.31005E-11	448.484
4.49331E-11	439.663
4.75046E-11	427.285
5.02233E-11	415.982
5.23690E-11	407.061
5.30975E-11	404.436
5.77202E-11	387.84
5.93489E-11	382.772
6.36306E-11	369.499
6.63362E-11	362.23
7.01326E-11	352.068
7.41462E-11	342.758
7.62384E-11	337.922
7.73139E-11	335.436
8.06014E-11	328.852
8.28757E-11	324.297
8.52142E-11	319.629
9.26330E-11	306.8
9.39398E-11	304.548
1.03539E-10	290.216
1.06460E-10	286.451
1.14141E-10	276.549
1.15729E-10	274.776
1.25804E-10	263.562
1.29354E-10	260.139
1.38686E-10	251.173
1.46623E-10	244.567
1.48663E-10	242.876
1.52858E-10	239.397
1.66166E-10	229.84
1.68510E-10	228.162
1.80632E-10	220.649
1.85729E-10	217.49
1.88349E-10	216.083
2.04747E-10	207.312
2.13453E-10	203.279
2.19476E-10	200.499
2.25669E-10	197.641
2.45316E-10	189.789
2.48777E-10	188.41
2.66673E-10	182.241
2.74198E-10	179.646
2.81935E-10	177.336
3.02275E-10	171.287
3.24019E-10	165.688
3.28591E-10	164.511
3.33162E-10	163.338
3.67277E-10	155.763
3.82894E-10	152.761
3.93698E-10	150.692
4.04807E-10	148.564
4.46258E-10	141.694
4.52466E-10	140.803
4.78360E-10	137.102
4.91858E-10	135.173
5.42223E-10	128.943
5.65279E-10	126.485
5.97629E-10	123.035
6.58824E-10	117.389
6.67990E-10	116.66
7.26145E-10	112.034
7.89364E-10	107.683
8.00501E-10	106.917
8.11637E-10	106.254
8.82299E-10	102.062
9.07194E-10	100.785
9.72643E-10	97.4265
1.02831E-09	94.9554
1.04261E-09	94.3226
1.07203E-09	93.0214
1.18180E-09	88.8224
1.19825E-09	88.2783
1.30256E-09	84.8267
1.33932E-09	83.7747
1.37711E-09	82.6971
1.43594E-09	81.0195
1.58267E-09	77.4015
1.74474E-09	73.9455
1.81892E-09	72.577
1.92302E-09	70.6639
2.03307E-09	68.9152
2.11993E-09	67.5351
2.27243E-09	65.4397
2.33655E-09	64.5587
2.53997E-09	62.1416
2.57581E-09	61.7158
2.83901E-09	59.0213
3.08618E-09	56.8339
3.12972E-09	56.4485
3.35486E-09	54.7259
3.44953E-09	54.0017
3.64694E-09	52.6958
3.80275E-09	51.6652
3.96444E-09	50.7403
4.19133E-09	49.4475
4.30959E-09	48.8651
4.55623E-09	47.6505
4.62050E-09	47.3339
