E(MeV)	Xe-124
1.000000E-11	36.1129551
1.029990E-11	35.5945228
1.060870E-11	35.0840163
1.092690E-11	34.5809261
1.125230E-11	34.0888744
1.125440E-11	34.0857852
1.158980E-11	33.6007395
1.159200E-11	33.5976449
1.193720E-11	33.1202286
1.193950E-11	33.1171347
1.229530E-11	32.6465672
1.229760E-11	32.6436084
1.266380E-11	32.1804196
1.266620E-11	32.1774671
1.304370E-11	31.7209325
1.304620E-11	31.7179919
1.343470E-11	31.2686824
1.343720E-11	31.2658698
1.383760E-11	30.8230261
1.384030E-11	30.8201217
1.425240E-11	30.3843001
1.425520E-11	30.3814201
1.467990E-11	29.9519212
1.468270E-11	29.9491672
1.512000E-11	29.5263322
1.512290E-11	29.5236046
1.557350E-11	29.106914
1.557650E-11	29.1042158
1.604030E-11	28.6941489
1.604340E-11	28.6914831
1.652140E-11	28.2873708
1.652460E-11	28.2847396
1.701670E-11	27.8869517
1.701990E-11	27.8844357
1.752710E-11	27.4924099
1.753040E-11	27.4899293
1.805250E-11	27.1040983
1.805590E-11	27.1016543
1.859390E-11	26.7215039
1.859750E-11	26.71903
1.915130E-11	26.3448955
1.915500E-11	26.3424644
1.972570E-11	25.9738442
1.972950E-11	25.9714569
2.031700E-11	25.608625
2.032090E-11	25.6062827
2.092640E-11	25.2488173
2.093050E-11	25.246463
2.155370E-11	24.8946908
2.155790E-11	24.8923852
2.220020E-11	24.545784
2.220450E-11	24.5435273
2.286570E-11	24.202422
2.287010E-11	24.2002144
2.355150E-11	23.8641535
2.355610E-11	23.8619471
2.425750E-11	23.5312527
2.426220E-11	23.5290977
2.498510E-11	23.2032857
2.498990E-11	23.2011818
2.573410E-11	22.8805554
2.573900E-11	22.8785022
2.650590E-11	22.562649
2.651100E-11	22.5606063
2.730050E-11	22.249793
2.730570E-11	22.2478022
2.811940E-11	21.9416028
2.812470E-11	21.9396633
2.896230E-11	21.6383925
2.896780E-11	21.6364686
2.983100E-11	21.3396925
2.983670E-11	21.3377906
3.073110E-11	21.0444823
3.085540E-11	21.0043999
3.165280E-11	20.7554616
3.191500E-11	20.6749832
3.260170E-11	20.4709156
3.301100E-11	20.3513327
3.357950E-11	20.19051
3.414470E-11	20.0333355
3.458610E-11	19.9144773
3.531730E-11	19.7209413
3.562350E-11	19.642458
3.653010E-11	19.4140612
3.669130E-11	19.3747321
3.778460E-11	19.1125949
3.779190E-11	19.1108997
3.892470E-11	18.8523914
3.908220E-11	18.8170559
4.009230E-11	18.5976826
4.042440E-11	18.5267788
4.129410E-11	18.3470212
4.181260E-11	18.2416751
4.253270E-11	18.1000282
4.324850E-11	17.9616378
4.380760E-11	17.8569787
4.473370E-11	17.6866044
4.512160E-11	17.6175063
4.627000E-11	17.4164767
4.647420E-11	17.3818628
4.785900E-11	17.1512028
4.786810E-11	17.1497349
4.930300E-11	16.922328
4.950250E-11	16.8912493
5.078180E-11	16.6983496
5.120250E-11	16.6359996
5.230410E-11	16.4779642
5.296090E-11	16.3853604
5.387290E-11	16.2608846
5.477960E-11	16.1392739
5.548780E-11	16.0473168
5.666090E-11	15.897645
5.715210E-11	15.8369697
5.860670E-11	15.6604333
5.886530E-11	15.6300457
6.061930E-11	15.4275658
6.063100E-11	15.426258
6.244840E-11	15.2267048
6.270110E-11	15.1994365
6.432150E-11	15.0302139
6.485430E-11	14.975536
6.624960E-11	14.8369478
6.708160E-11	14.7557516
6.823680E-11	14.646631
6.938520E-11	14.5400538
7.028220E-11	14.4594736
7.176800E-11	14.3283557
7.239030E-11	14.2751946
7.423270E-11	14.1205978
7.456030E-11	14.0939856
7.678190E-11	13.9167371
