E(MeV)	Y-89-nat			
1.00000E-11	111.301			
1.10304E-11	106.028			
1.21669E-11	101.01			
1.34205E-11	96.234			
1.48034E-11	91.6899			
1.63287E-11	87.3662			
1.80111E-11	83.2526			
1.98669E-11	79.339			
2.19139E-11	75.6161			
2.41719E-11	72.0829			
2.43424E-11	71.8376			
2.66625E-11	68.7209			
2.70386E-11	68.2565			
2.94097E-11	65.5223			
3.00350E-11	64.86			
3.24400E-11	62.4796			
3.33618E-11	61.6419			
3.57825E-11	59.5857			
3.70589E-11	58.5907			
3.94694E-11	56.8337			
4.11636E-11	55.701			
4.35362E-11	54.2171			
4.57253E-11	52.962			
4.80221E-11	51.7297			
5.07900E-11	50.369			
5.29701E-11	49.3657			
5.64184E-11	47.9125			
5.84280E-11	47.1193			
6.26675E-11	45.588			
6.44483E-11	44.9853			
6.96122E-11	43.387			
7.10888E-11	42.9586			
7.73227E-11	41.3056			
7.84136E-11	41.0343			
8.58914E-11	39.336			
8.64931E-11	39.2077			
9.54051E-11	37.4745			
1.05235E-10	35.838			
1.05978E-10	35.7246			
1.16078E-10	34.2888			
1.18546E-10	33.9675			
1.28039E-10	32.8179			
1.32606E-10	32.312			
1.41232E-10	31.4225			
1.48333E-10	30.7534			
1.55784E-10	30.0992			
1.65925E-10	29.2868			
1.71835E-10	28.845			
1.85603E-10	27.9074			
1.89540E-10	27.6575			
2.09070E-10	26.5299			
2.30612E-10	25.4777			
2.35515E-10	25.2592			
2.54374E-10	24.4802			
2.65292E-10	24.0694			
2.80583E-10	23.5352			
2.98849E-10	22.9552			
3.09494E-10	22.6413			
3.39009E-10	21.852			
3.41383E-10	21.7931			
3.76558E-10	21.0026			
3.84565E-10	20.839			
4.15358E-10	20.2584			
4.39298E-10	19.8493			
4.58155E-10	19.5518			
5.05362E-10	18.8793			
5.57433E-10	18.2613			
5.81360E-10	18.0045			
6.14869E-10	17.6732			
6.73505E-10	17.1511			
6.78223E-10	17.1123			
7.48105E-10	16.5967			
7.85721E-10	16.3466			
8.25188E-10	16.1058			
9.10213E-10	15.6407			
9.29565E-10	15.5454			
1.00400E-09	15.2103			
1.10745E-09	14.7934			
1.22156E-09	14.417			
1.34742E-09	14.046			
1.48625E-09	13.7127			
1.63939E-09	13.385			
1.66252E-09	13.3408			
1.80831E-09	13.0872			
1.99463E-09	12.7995			
2.09493E-09	12.6614			
2.20015E-09	12.5295			
2.42685E-09	12.2781			
2.67691E-09	12.0321			
2.71467E-09	11.999			
2.95273E-09	11.8104			
3.25697E-09	11.5976			
3.59256E-09	11.39			
3.66894E-09	11.348			
3.96272E-09	11.2022			
4.37103E-09	11.0241			
4.82141E-09	10.8509			
5.20773E-09	10.7197			
5.31819E-09	10.6856			
5.86616E-09	10.5376			
6.47059E-09	10.3945			
7.13730E-09	10.2559			
7.87271E-09	10.1212			
7.98378E-09	10.1033			
8.68389E-09	10.0016			
9.57865E-09	9.88817			
1.05656E-08	9.77884			
1.16543E-08	9.67326			
1.28551E-08	9.57108			
1.36919E-08	9.50846			
1.41796E-08	9.47533			
1.56406E-08	9.38899			
1.72522E-08	9.30605			
1.90298E-08	9.22626			
2.09906E-08	9.14938			
2.31534E-08	9.07523			
2.52419E-08	9.01206			
2.53000E-08	9.01049			
