E(MeV)	pendfb7/Zn:1
1.00000E-11	84.0495
1.10240E-11	80.0753
1.21504E-11	76.3033
1.22042E-11	76.1391
1.33946E-11	72.7
1.34539E-11	72.5439
1.47633E-11	69.2763
1.48287E-11	69.1276
1.62750E-11	66.0103
1.63471E-11	65.8687
1.79381E-11	62.907
1.80175E-11	62.7723
1.97749E-11	59.9469
1.98624E-11	59.8187
2.17956E-11	57.1346
2.18920E-11	57.0127
2.40274E-11	54.4524
2.41337E-11	54.3363
2.64826E-11	51.9045
2.65998E-11	51.794
2.91943E-11	49.4747
2.93235E-11	49.3695
3.21775E-11	47.1669
3.23199E-11	47.0668
3.54723E-11	44.9664
3.56294E-11	44.8711
3.90970E-11	42.8767
3.92701E-11	42.7861
4.31005E-11	40.8846
4.32913E-11	40.7983
4.75046E-11	38.9932
4.77149E-11	38.9111
5.23690E-11	37.1905
5.26008E-11	37.1124
5.77202E-11	35.4793
5.79757E-11	35.4051
6.36306E-11	33.8488
6.39123E-11	33.7782
7.01326E-11	32.3015
7.04431E-11	32.2345
7.73139E-11	30.8277
7.76562E-11	30.7639
8.52142E-11	29.4295
8.55914E-11	29.369
9.39398E-11	28.0982
9.43557E-11	28.0406
1.03539E-10	26.8358
1.03997E-10	26.7811
1.14141E-10	25.6342
1.14646E-10	25.5823
1.25804E-10	24.4953
1.26361E-10	24.446
1.38686E-10	23.4118
1.39300E-10	23.365
1.52858E-10	22.389
1.55701E-10	22.2032
1.68510E-10	21.415
1.74032E-10	21.1068
1.85729E-10	20.4917
1.94521E-10	20.073
2.04747E-10	19.6135
2.17423E-10	19.0982
2.25669E-10	18.7817
2.43021E-10	18.1798
2.48777E-10	17.9911
2.71633E-10	17.3148
2.74198E-10	17.243
3.02275E-10	16.5345
3.03613E-10	16.5039
3.33162E-10	15.868
3.39358E-10	15.7475
3.67277E-10	15.2371
3.84589E-10	14.9514
4.04807E-10	14.6384
4.35933E-10	14.2044
4.46258E-10	14.069
4.91858E-10	13.5316
4.94035E-10	13.5085
5.42223E-10	13.0283
5.59990E-10	12.869
5.97629E-10	12.5517
6.34628E-10	12.2716
6.58824E-10	12.0995
7.26145E-10	11.6707
7.29360E-10	11.6523
8.00501E-10	11.2717
8.38233E-10	11.0907
8.82299E-10	10.893
9.72643E-10	10.5309
9.76949E-10	10.5154
1.07203E-09	10.1971
1.13840E-09	9.9986
1.18180E-09	9.87715
1.30256E-09	9.57651
1.34525E-09	9.48163
1.43594E-09	9.29389
1.58267E-09	9.02396
1.61211E-09	8.97567
1.74474E-09	8.77354
1.92302E-09	8.5325
1.95878E-09	8.48946
2.11993E-09	8.3093
2.33655E-09	8.09496
2.41312E-09	8.02769
2.57581E-09	7.89486
2.83901E-09	7.7052
3.05731E-09	7.566
