file_name,abundance,atomic_fraction,density,atomic_mass,thickness,group_number
Al-27-nat.txt,1,0.600000,6.71,27,5000,1
B-10.txt,1,0.600000,4.5,10.81,5000,1
Ba-134.txt,0.02417,0.316666667,4.5,137.327,4220,1
Ba-135.txt,0.06592,0.316666667,4.5,0,4220,1
Ba-136.txt,0.07854,0.316666667,4.5,0,4220,1
Ba-137.txt,0.1123,0.316666667,4.5,0,4220,1
Ba-138.txt,0.717,0.316666667,4.5,0,4220,1
Bi-209.txt,1,1.000000,9.78,210,75000,1
Br-79.txt,0.5069,0.316666667,4.5,79.9,4220,1
Br-81.txt,0.4931,0.316666667,4.5,0,4220,1
C-nat.txt,1,0.930000,4.12,12,5000,1
Ca-nat.txt,1,0.030000,4.12,40.08,5000,1
Cd_FullSpectra.txt,1,1,8.65,112.4,2000,2
Ce-140.txt,0.8845,0.030000,4.12,140.116,5000,1
Ce-142.txt,0.1111,0.030000,4.12,0,5000,1
Cl-nat.txt,1,0.316666667,4.5,35.45,4220,1
Cs-133.txt,1,0.200000,4.2,132.905,11750,1
Cu-63.txt,0.692,1.000000,8.94,63.5,2000,2
Cu-65.txt,0.308,1.000000,8.94,0,2000,2
Eu-nat.txt,1,0.050000,4.5,151.96,4220,1
F-19-nat.txt,1,0.666667,3.95,19,5000,1
Fe-nat.txt,1,0.460000,3.67,55.85,1000,1
Ga-69.txt,0.6011,0.460000,3.67,69.723,1000,1
Ga-71.txt,0.3989,0.460000,3.67,0,1000,1
Gd-152.txt,0.0020,0.460000,3.67,157.25,1000,1
Gd-154.txt,0.0218,0.460000,3.67,0,1000,1
Gd-155.txt,0.1480,0.460000,3.67,0,1000,1
Gd-156.txt,0.2047,0.460000,3.67,0,1000,1
Gd-157.txt,0.1565,0.460000,3.67,0,1000,1
Gd-158.txt,0.2484,0.460000,3.67,0,1000,1
Gd-160.txt,0.2186,0.460000,3.67,0,1000,1
I-127.txt,1,0.460000,3.67,126.9,5000,1
In-113.txt,0.043,0.100000,7.31,114.82,100,1
In-115.txt,0.957,0.100000,7.31,0,100,1
H--1.txt,1.0,0.666670,1.00,1,3556,1
Hf-176.txt,0.05200,1.000000,4.6,178.49,3556,1
Hf-177.txt,0.18606,1.000000,4.6,0,3556,1
Hf-178.txt,0.27297,1.000000,4.6,0,3556,1
Hf-179.txt,0.13629,1.000000,4.6,0,3556,1
Hf-180.txt,0.35100,1.000000,4.6,0,3556,1
H2_O.txt,1.0,1.000000,1.00,18.0153,508,1
K-nat.txt,1.0,1.000000,1.00,39.09,1000,1
La-139.txt,1,0.100000,4.2,138.905,11750,1
Li-6.txt,0.074,0.100000,4.2,6.94,11750,1
Li-7.txt,0.926,0.100000,4.2,???,11750,1
Lu-175.txt,0.9741,0.150000,6.71,175,5000,1
Lu-176.txt,0.0259,0.150000,6.71,0,5000,1
Mg-nat.txt,1,0.001000,4.5,24.305,5000,1
Mn-nat.txt,1,0.001000,4.5,54.94,1000,1
Na-23.txt,1,0.460000,3.67,22.99,5000,1
O-16.txt,1,0.250000,6.71,16,5000,1
Pb-206.txt,0.241,0.200000,4.79,207.2,10000,1
Pb-207.txt,0.221,0.200000,4.79,0,10000,1
Pb-206.txt,0.524,0.200000,4.79,0,10000,1
Pr-nat.txt,1,0.050000,6.71,59,5000,1
Cs-133.txt,1,0.363636,4.0,132.905,9999,1
Se-76.txt,0.0923,0.600000,4.6,78.97,100,1
Se-77.txt,0.076,0.600000,4.6,0,100,1
Se-78.txt,0.2369,0.600000,4.6,0,100,1
Se-80.txt,0.498,0.600000,4.6,0,100,1
Se-77.txt,0.0882,0.600000,4.6,0,100,1
Si-nat.txt,1,0.200000,4.6,28.085,100,1
Sm-147.txt,0.1499,0.010000,4.08,150.36,4125,1
Sm-149.txt,0.1382,0.010000,4.08,0,4125,1
Sm-150.txt,0.0738,0.010000,4.08,0,4125,1
Sm-152.txt,0.2675,0.010000,4.08,0,4125,1
Sm-154.txt,0.2275,0.010000,4.08,0,4125,1
Sr-86.txt,0.0986,0.167000,7.6,87.62,15000,6
Sr-87.txt,0.07,0.167000,7.6,0,15000,6
Sr-88.txt,0.8258,0.167000,7.6,0,15000,6
Ta-181.txt,1.0,1.000000,16.69,180.95,2540,2
Tb-nat.txt,1.0,1.000000,16.69,158.925,1000,1
Ti-nat.txt,0.29524,0.030000,4.12,47.867,1000,1
Tl-203.txt,0.29524,0.030000,4.12,204.38,5000,1
Tl-205.txt,0.70476,0.030000,4.12,0,5000,1
V-nat.txt,1,0.166666667,4.22,50.94,5000,1
W-nat.txt,1,0.166666667,4.22,183.84,1000,1
Y-nat.txt,1,0.150000,4.56,39,5000,1
Zn-nat.txt,1,0.150000,4.56,65.38,0,1
K-nat.txt,1.0,0.083333,7.27,39.09,1000,1
Gd-152.txt,0.0020,0.083333,7.27,157.25,1000,1
Gd-154.txt,0.0218,0.083333,7.27,0,1000,1
Gd-155.txt,0.1480,0.083333,7.27,0,1000,1
Gd-156.txt,0.2047,0.083333,7.27,0,1000,1
Gd-157.txt,0.1565,0.083333,7.27,0,1000,1
Gd-158.txt,0.2484,0.083333,7.27,0,1000,1
Gd-160.txt,0.2186,0.083333,7.27,0,1000,1
W-nat.txt,1,0.166667,7.27,183.84,1000,1
O-16.txt,1,0.666667,7.27,16,1000,1
